"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gm336961",0.00166829154271528,0.009010850684865,0.014,0.005,1,"6","Gm33696"
"Phf21a3",0.00167374753519953,0.0407774471004947,0.891,0.869,1,"6","Phf21a"
"Plac8l1",0.00168996298239676,0.00756688196367189,0.011,0.004,1,"6","Plac8l1"
"Ctss",0.00170626085514287,0.00600905363512308,0.009,0.003,1,"6","Ctss"
"Cntln1",0.00170925693221214,0.0353645460786299,0.153,0.118,1,"6","Cntln"
"B3glct1",0.00171497456948187,0.0506780152568571,0.494,0.443,1,"6","B3glct"
"Zrsr11",0.001718241964686,0.0265169764216811,0.094,0.068,1,"6","Zrsr1"
"Ppp1r3b",0.00172220719826302,0.00869085388853412,0.016,0.007,1,"6","Ppp1r3b"
"Chst8",0.00172353885435226,0.0164850639597632,0.044,0.027,1,"6","Chst8"
"Tbc1d41",0.00172747635969431,0.041298350644118,0.28,0.234,1,"6","Tbc1d4"
"Fbxo36",0.00173046052024357,0.0291478673722388,0.115,0.085,1,"6","Fbxo36"
